"Ecozone","Mean_Resprout_Prop"
"Taiga Shield West",0.940198354574255
"Arctic Cordillera",0.732522113813775
"High Arctic",0.998711491156144
"Low Arctic",0.859178848305163
"Taiga Plains",0.745155911000182
"Atlantic Maritime",0.760463278268443
"Mixedwood Plains",0.324519551578702
"Boreal Plains",0.992695481917098
"Prairies",0.98907550942938
"Taiga Cordillera",0.265295118577371
"Boreal Cordillera",0.758945195886068
"Pacific Maritime",0.38540376732902
"Montane Cordillera",0.972107886118993
"Hudson Plains",0.798355384551611
"Boreal Shield West",0.746263261297132
"Boreal Shield East",0.666053412400596
"Taiga Shield East",0.782432139930785
